Number,Name,height,Floors,City,Country,Year,Comments
1,Burj Khalifa,"2,717",163 (+ 2 below ground),Dubai,United Arab Emirates,2010,Tallest building in the world since 2009
2,Merdeka 118,"2,227",118 (+ 5 below ground),Kuala Lumpur,Malaysia,2024,Tallest building in Southeast Asia
3,Shanghai Tower,"2,073",128 (+ 5 below ground),Shanghai,China,2015,"Tallest building in East Asia, tallest twisted building in the world; contains the highest luxury hotel in the world"
4,The Clock Towers,"1,972",120 (+ 3 below ground),Mecca,Saudi Arabia,2012,"Tallest building in Saudi Arabia, tallest clock tower and contains the highest museum in the world"
5,Ping An International Finance Centre,"1,966",115 (+ 5 below ground),Shenzhen,China,2017,Tallest all-office building in the world; tallest in Guangdong Province
6,Lotte World Tower,"1,819",123 (+ 6 below ground),Seoul,South Korea,2017,Tallest building in South Korea and the OECD
7,One World Trade Center,"1,776",94 (+ 5 below ground),New York City,United States,2014,Tallest building outside of Asia; tallest building on an island; tallest building in the world with fewer than 100 floors
8,Guangzhou CTF Finance Centre,"1,740",111 (+ 5 below ground),Guangzhou,China,2016,
Tianjin CTF Finance Centre,97 (+ 4 below ground),Tianjin,2019,[24],Tianjin,2019,Tallest completed building in Tianjin
10,China Zun,"1,731",109 (+ 8 below ground),Beijing,Beijing,2018,Tallest building in Beijing
11,Taipei 101,"1,667",101 (+ 5 below ground),Taipei,Taiwan,2004,Tallest building in the world from 2004 to 2009; tallest building in Taiwan
12,Shanghai World Financial Center,"1,614",101 (+ 3 below ground),Shanghai,China,2008,Tallest building in the world with a hole
13,International Commerce Centre,"1,588",108 (+ 4 below ground),Hong Kong,Hong Kong,2010,Tallest building in Hong Kong
14,Wuhan Greenland Center,"1,560",101 (+ 6 below ground),Wuhan,China,2023,Tallest building in Hubei Province
15,Central Park Tower,"1,550",98 (+ 4 below ground),New York City,United States,2021,Tallest residential building
16,Lakhta Center,"1,516",87 (+ 3 below ground),Saint Petersburg,Russia,2019,Tallest building in Europe and Russia; Northernmost skyscraper in the world
17,Landmark 81,"1,513",81 (+ 3 below ground),Ho Chi Minh City,Vietnam,2018,Tallest building in Vietnam
18,Chongqing International Land-Sea Center,"1,503",98 (+ 4 below ground),Chongqing,China,2024,
19,The Exchange 106,"1,488",95 (+ 6 below ground),Kuala Lumpur,Malaysia,2019,
20,Changsha IFS Tower T1,"1,483",94 (+ 5 below ground),Changsha,China,2018,Tallest building in Hunan Province
21,Petronas Tower 1,"1,483",88 (+ 5 below ground),Kuala Lumpur,Malaysia,1998,Tallest building in the world from 1998 to 2004; tallest building built in the 20th century; Tallest twin buildings
23,Zifeng Tower,"1,480",89 (+ 5 below ground),Nanjing,China,2010,"Tallest building in Jiangsu Province, tied with Suzhou IFS"
Suzhou IFS,95 (+ 5 below ground),Suzhou,2019,[38],Suzhou,2019,"Tallest building in Jiangsu Province, tied with Zifeng Tower"
25,Wuhan Center,"1,454",88 (+ 4 below ground),Wuhan,Wuhan,2019,
26,Willis Tower,"1,450",108 (+ 3 below ground),Chicago,United States,1974,Tallest building in the world from 1974 to 1998 as Sears Tower
27,KK100,"1,449",98 (+ 4 below ground),Shenzhen,China,2011,
28,Guangzhou International Finance Center,"1,439",101 (+ 4 below ground),Guangzhou,Guangzhou,2010,
29,111 West 57th Street,"1,428",84 (+ 2 below ground),New York City,United States,2021,Thinnest skyscraper in the world with a width-to-height ratio of about 1:24
30,Shandong International Financial Center,"1,404",88 (+ 4 below ground),Jinan,China,2025,Tallest building in Shandong Province
31,One Vanderbilt,"1,401",62 (+ 4 below ground),New York City,United States,2020,
