softwareName,version,releaseDate,eolDate
Prisma Access Browser,-,-,-
139.12.x.x,-,2025-08-13,2025-11-11
139.7.x.x,-,2025-08-07,2025-11-05
138.69.x.x,-,2025-07-30,2025-10-28
138.64.x.x,-,2025-07-23,2025-10-21
138.53.x.x,-,2025-07-16,2025-10-14
138.47.x.x,-,2025-07-09,2025-10-07
138.40.x.x,-,2025-07-01,2025-09-29
138.33.x.x,-,2025-06-25,2025-09-23
137.27.x.x,-,2025-06-18,2025-09-16
137.20.x.x,-,2025-06-11,2025-09-09
137.16.x.x,-,2025-06-03,2025-09-01
137.8.x.x,-,2025-05-28,2025-08-26
136.33.x.x,-,2025-05-21,2025-08-19
136.24.x.x,-,2025-05-14,2025-08-12
136.17.x.x,-,2025-05-07,2025-08-05
136.11.x.x,-,2025-04-30,2025-07-29
135.27.x.x,-,2025-04-23,2025-07-22
135.16.x.x,-,2025-04-09,2025-07-08
135.10.x.x,-,2025-04-02,2025-07-01
134.29.x.x,-,2025-03-26,2025-06-24
134.20.x.x,-,2025-03-20,2025-06-18
134.17.x.x,-,2025-03-11,2025-06-09
134.7.x.x,-,2025-03-05,2025-06-03
133.36.x.x,-,2025-02-26,2025-05-27
133.27.x.x,-,2025-02-19,2025-05-20
133.16.x.x,-,2025-02-13,2025-05-14
133.8.x.x,-,2025-02-05,2025-05-06
132.x.3025.x,-,2025-01-29,2025-04-29
132.x.3017.x,-,2025-01-22,2025-04-22
132.x.3010.x,-,2025-01-15,2025-04-15
131.x.2999.x,-,2025-01-08,2025-04-08
131.x.2995.x,-,2025-01-01,2025-04-01
131.x.2986.x,-,2024-12-26,2025-03-26
131.x.2976.x,-,2024-12-19,2025-03-19
131.x.2968.x,-,2024-12-11,2025-03-11
131.x.2963.x,-,2024-12-04,2025-03-04
131.x.2955.x,-,2024-11-28,2025-02-26
131.x.2948.x,-,2024-11-20,2025-02-18
131.x.2943.x,-,2024-11-14,2025-02-12
130.x.2936.x,-,2024-11-06,2025-02-04
130.x.2931.x,-,2024-10-30,2025-01-28
130.x2926.x,-,2024-10-23,2025-01-21
130.x2920.x,-,2024-10-16,2025-01-14
129.x2913.x,-,2024-10-09,2025-01-07
129.x2910.x,-,2024-10-02,2024-12-31
129.x2903.x,-,2024-09-25,2024-12-24
129.x2896.x,-,2024-09-18,2024-12-17
128.x.2888.x,-,2024-09-11,2024-12-10
128.x.2884.x,-,2024-09-03,2024-12-02
128.x.2877.x,-,2024-08-28,2024-11-27
128.x.2869.x,-,2024-08-21,2024-11-19
127.x.2863.x,-,2024-08-14,2024-11-12
127.x.2858.x,-,2024-08-07,2024-11-05
127.x.2853.x,-,2024-07-31,2024-10-29
127.x.2849.x,-,2024-07-24,2024-10-22
126.x.2844.x,-,2024-07-17,2024-10-15
126.x.2842.x,-,2024-07-10,2024-10-08
126.x.2834.x,-,2024-07-04,2024-10-02
126.x.2826.x,-,2024-06-25,2024-09-23
126.x.2819.x,-,2024-06-19,2024-09-17
126.x.2811.x,-,2024-06-12,2024-09-10
125.x.2804.x,-,2024-05-31,2024-08-29
IBM Security QRadar on Cloud,-,2026-04-14,-
IBM Security QRadar Suite – Cloud-Native SIEM,-,2026-04-14,-
