softwareName,version,releaseDate,eolDate
Prisma Access Browser,Prisma Access Browser,-,-
Prisma Access Browser,139.12.x.x,-,-
Prisma Access Browser,139.7.x.x,-,-
Prisma Access Browser,138.69.x.x,-,-
Prisma Access Browser,138.64.x.x,-,-
Prisma Access Browser,138.53.x.x,-,-
Prisma Access Browser,138.47.x.x,-,-
Prisma Access Browser,138.40.x.x,-,-
Prisma Access Browser,138.33.x.x,-,-
Prisma Access Browser,137.27.x.x,-,-
Prisma Access Browser,137.20.x.x,-,-
Prisma Access Browser,137.16.x.x,-,-
Prisma Access Browser,137.8.x.x,-,-
Prisma Access Browser,136.33.x.x,-,-
Prisma Access Browser,136.24.x.x,-,-
Prisma Access Browser,136.17.x.x,-,-
Prisma Access Browser,136.11.x.x,-,-
Prisma Access Browser,135.27.x.x,-,-
Prisma Access Browser,135.16.x.x,-,-
Prisma Access Browser,135.10.x.x,-,-
Prisma Access Browser,134.29.x.x,-,-
Prisma Access Browser,134.20.x.x,-,-
Prisma Access Browser,134.17.x.x,-,-
Prisma Access Browser,134.7.x.x,-,-
Prisma Access Browser,133.36.x.x,-,-
Prisma Access Browser,133.27.x.x,-,-
Prisma Access Browser,133.16.x.x,-,-
Prisma Access Browser,133.8.x.x,-,-
Prisma Access Browser,132.x.3025.x,-,-
Prisma Access Browser,132.x.3017.x,-,-
Prisma Access Browser,132.x.3010.x,-,-
Prisma Access Browser,131.x.2999.x,-,-
Prisma Access Browser,131.x.2995.x,-,-
Prisma Access Browser,131.x.2986.x,-,-
Prisma Access Browser,131.x.2976.x,-,-
Prisma Access Browser,131.x.2968.x,-,-
Prisma Access Browser,131.x.2963.x,-,-
Prisma Access Browser,131.x.2955.x,-,-
Prisma Access Browser,131.x.2948.x,-,-
Prisma Access Browser,131.x.2943.x,-,-
Prisma Access Browser,130.x.2936.x,-,-
Prisma Access Browser,130.x.2931.x,-,-
Prisma Access Browser,130.x2926.x,-,-
Prisma Access Browser,130.x2920.x,-,-
Prisma Access Browser,129.x2913.x,-,-
Prisma Access Browser,129.x2910.x,-,-
Prisma Access Browser,129.x2903.x,-,-
Prisma Access Browser,129.x2896.x,-,-
Prisma Access Browser,128.x.2888.x,-,-
Prisma Access Browser,128.x.2884.x,-,-
Prisma Access Browser,128.x.2877.x,-,-
Prisma Access Browser,128.x.2869.x,-,-
Prisma Access Browser,127.x.2863.x,-,-
Prisma Access Browser,127.x.2858.x,-,-
Prisma Access Browser,127.x.2853.x,-,-
Prisma Access Browser,127.x.2849.x,-,-
Prisma Access Browser,126.x.2844.x,-,-
Prisma Access Browser,126.x.2842.x,-,-
Prisma Access Browser,126.x.2834.x,-,-
Prisma Access Browser,126.x.2826.x,-,-
Prisma Access Browser,126.x.2819.x,-,-
Prisma Access Browser,126.x.2811.x,-,-
Prisma Access Browser,125.x.2804.x,-,-
 (IBM Security QRadar on Cloud),-,-,2026-04-14
 (IBM Security QRadar Suite – Cloud-Native SIEM),-,-,2026-04-14
 (IBM Security QRadar Suite – SOAR),-,-,2026-04-14
 (The SOAR Portion of the Cloud Pak for Security as a Service (excluding Guardium and Identity Access Management portions)),-,-,2026-04-14
 (IBM Security SOAR on Cloud),-,-,2026-04-14
 (IBM Security Randori Recon),-,-,2026-04-14
 (IBM Security QRadar Suite – Log Insights),-,-,2026-04-14
 (IBM Security QRadar Suite – EDR),-,-,2026-08-31
 (IBM Security QRadar Suite - XDR),-,-,2026-08-31
 (IBM Security X-Force Threat Intelligence),-,-,2026-08-31
 (IBM Security Randori Attack),-,-,2026-08-31
 (IBM Security QRadar Advisor with Watson),-,-,2026-08-31
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
Unknown,-,-,-
